date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2021-06-16 04:45:00,258.59,258.8,258.59,258.75,2868.0,0.3335,258.5212,51.8014,258.5212,258.2477,258.7947
2021-06-16 05:30:00,258.62,258.62,258.6,258.6,455.0,0.1161,258.5362,49.0108,258.5362,258.2806,258.7919
2021-06-16 05:45:00,258.62,258.62,258.62,258.62,438.0,0.0387,258.5412,49.3934,258.5412,258.2832,258.7993
2021-06-16 06:00:00,258.66,258.88,258.66,258.88,346.0,0.147,258.5603,54.1061,258.5603,258.264,258.8565
2021-06-16 07:15:00,258.13,258.55,258.11,258.54,3243.0,0.0348,258.5648,47.9584,258.5648,258.2726,258.8569
2021-06-16 07:30:00,258.51,258.73,258.5,258.5,4335.0,-0.0193,258.5623,47.293,258.5623,258.2688,258.8557
2021-06-16 07:45:00,258.41,258.57,258.41,258.57,2357.0,0.0193,258.5648,48.6066,258.5648,258.2719,258.8576
2021-06-16 08:00:00,258.47,258.47,258.4,258.4,1032.0,-0.0542,258.5578,45.6952,258.5578,258.2563,258.8592
2021-06-16 08:15:00,258.4,258.53,257.73,258.3,5833.0,-0.0774,258.5478,44.061,258.5478,258.2267,258.8688
2021-06-16 08:30:00,258.44,258.44,258.38,258.38,641.0,-0.0271,258.5443,45.6964,258.5443,258.2176,258.8709
2021-06-16 08:45:00,258.39,258.5,258.39,258.5,1531.0,0.029,258.548,48.0925,258.548,258.2252,258.8708
2021-06-16 09:00:00,258.48,258.48,258.4,258.4,2290.0,-0.0426,258.5425,46.3004,258.5425,258.2136,258.8714
2021-06-16 09:15:00,258.55,258.7439,258.55,258.6898,4467.0,0.1122,258.557,51.7815,258.557,258.2289,258.8851
2021-06-16 09:30:00,258.62,259.7844,258.5,259.3,43714.0,0.2862,258.594,60.6773,258.594,258.1329,259.055
2021-06-16 09:45:00,259.4,259.86,258.84,259.385,1753949.0,0.3346,258.6372,61.713,258.6372,258.0635,259.2109
2021-06-16 10:00:00,259.4,260.56,259.4,260.05,1335415.0,0.7087,258.7287,68.5376,258.7287,257.9163,259.5411
2021-06-16 10:15:00,260.06,260.58,259.85,260.575,749727.0,0.7949,258.8315,72.5968,258.8315,257.6954,259.9676
2021-06-16 10:30:00,260.58,260.58,259.98,260.1584,602324.0,0.5871,258.9074,65.5344,258.9074,257.6376,260.1773
2021-06-16 10:45:00,260.16,260.17,259.4,259.45,705557.0,0.2705,258.9424,55.8153,258.9424,257.6534,260.2314
2021-06-16 11:00:00,259.45,259.7,259.1601,259.66,594518.0,0.3323,258.9854,57.7696,258.9854,257.6614,260.3095
2021-06-16 11:15:00,259.66,259.83,259.4,259.8,385827.0,0.4058,259.0379,59.041,259.0379,257.6727,260.4031
2021-06-16 11:30:00,259.79,259.88,259.4806,259.5,294737.0,0.348,259.0829,55.2867,259.0829,257.7191,260.4467
2021-06-16 11:45:00,259.52,259.58,259.0,259.12,401642.0,0.1933,259.1079,50.9657,259.1079,257.7607,260.4551
2021-06-16 12:00:00,259.13,259.25,258.7099,258.79,441135.0,-0.0348,259.1034,47.5672,259.1034,257.7526,260.4542
2021-06-16 12:15:00,258.79,258.87,258.24,258.46,648480.0,-0.0309,259.0994,44.4474,259.0994,257.7415,260.4573
